add-none,2,100,400,410601,1026,0
add-none,2,1000,4000,632974,158,0
add-none,2,10000,40000,997011,24,-1854
add-none,2,100000,400000,6954877,17,-15908
add-none,4,100,800,1516344,1895,0
add-none,4,1000,8000,471143,58,59
add-none,4,10000,80000,1491276,18,537
add-none,4,100000,800000,13892455,17,-25076
add-none,8,100,1600,804793,502,0
add-none,8,1000,16000,1141005,71,0
add-none,8,10000,160000,3020445,18,-1292
add-none,8,100000,1600000,28179090,17,-16183
add-none,12,100,2400,2726088,1135,0
add-none,12,1000,24000,818775,34,-243
add-none,12,10000,240000,4013051,16,3615
add-none,12,100000,2400000,41096216,17,-98412
add-yield-none,2,10,40,428987,10724,0
add-yield-none,4,10,80,348357,4354,0
add-yield-none,8,10,160,1641672,10260,0
add-yield-none,12,10,240,1272138,5300,7
add-yield-none,2,20,80,315192,3939,0
add-yield-none,4,20,160,345596,2159,27
add-yield-none,8,20,320,895335,2797,19
add-yield-none,12,20,480,1490459,3105,0
add-yield-none,2,40,160,399238,2495,0
add-yield-none,4,40,320,352302,1100,0
add-yield-none,8,40,640,765530,1196,10
add-yield-none,12,40,960,1906113,1985,0
add-yield-none,2,80,320,423126,1322,50
add-yield-none,4,80,640,469688,733,87
add-yield-none,8,80,1280,544419,425,15
add-yield-none,12,80,1920,6369861,3317,114
add-yield-none,2,100,400,495305,1238,0
add-yield-none,4,100,800,519057,648,0
add-yield-none,8,100,1600,872942,545,11
add-yield-none,12,100,2400,1451866,604,225
add-yield-none,2,1000,4000,3085411,771,0
add-yield-none,4,1000,8000,3629060,453,0
add-yield-none,8,1000,16000,4648670,290,0
add-yield-none,12,1000,24000,7224140,301,1086
add-yield-none,2,10000,40000,8688355,217,0
add-yield-none,4,10000,80000,8977196,112,68
add-yield-none,8,10000,160000,22305374,139,-1304
add-yield-none,12,10000,240000,42269507,176,-15004
add-yield-none,2,100000,400000,85576502,213,-21595
add-yield-none,4,100000,800000,86810664,108,-952
add-yield-none,8,100000,1600000,296144171,185,-36880
add-yield-none,12,100000,2400000,412081514,171,-33791
add-none,1,100,200,369758,1848,0
add-none,1,1000,2000,360009,180,0
add-none,1,10000,20000,813134,40,0
add-none,1,100000,200000,2058080,10,0
add-none,1,1000000,2000000,14815282,7,0
add-none,2,100,400,633527,1583,0
add-none,2,1000,4000,314054,78,0
add-none,2,10000,40000,799458,19,-3811
add-none,2,100000,400000,6657113,16,-1814
add-none,2,1000000,4000000,62755439,15,-267583
add-none,4,100,800,1294445,1618,0
add-none,4,1000,8000,395218,49,-301
add-none,4,10000,80000,1537459,19,-1621
add-none,4,100000,800000,13969977,17,-62139
add-none,4,1000000,8000000,129896154,16,-535258
add-yield-none,1,100,200,351106,1755,0
add-yield-none,1,1000,2000,3206438,1603,0
add-yield-none,1,10000,20000,17662769,883,0
add-yield-none,1,100000,200000,173987973,869,0
add-yield-none,1,1000000,2000000,2249895604,1124,0
add-yield-none,2,100,400,387188,967,36
add-yield-none,2,1000,4000,1118357,279,48
add-yield-none,2,10000,40000,8999700,224,5
add-yield-none,2,100000,400000,86295651,215,-1346
add-yield-none,2,1000000,4000000,700121500,175,-210064
add-yield-none,4,100,800,309653,387,127
add-yield-none,4,1000,8000,1038327,129,61
add-yield-none,4,10000,80000,8773046,109,7
add-yield-none,4,100000,800000,81472202,101,-444
add-yield-none,4,1000000,8000000,757753975,94,10820
add-yield-m,2,10000,40000,27927917,698,0
add-yield-m,4,10000,80000,62160414,777,0
add-yield-m,8,10000,160000,150203480,938,0
add-yield-m,12,10000,240000,320056274,1333,0
add-yield-c,2,10000,40000,13071603,326,0
add-yield-c,4,10000,80000,32990723,412,0
add-yield-c,8,10000,160000,80134129,500,0
add-yield-c,12,10000,240000,128614023,535,0
add-yield-s,2,10000,40000,16944631,423,0
add-yield-s,4,10000,80000,42455176,530,0
add-yield-s,8,1000,16000,9396385,587,0
add-yield-s,12,1000,24000,25302237,1054,0
add-m,1,10000,20000,918598,45,0
add-m,2,10000,40000,4439792,110,0
add-m,4,10000,80000,12323734,154,0
add-m,8,10000,160000,26074276,162,0
add-m,12,10000,240000,35760919,149,0
add-c,1,10000,20000,603490,30,0
add-c,2,10000,40000,2303837,57,0
add-c,4,10000,80000,9503849,118,0
add-c,8,10000,160000,24210503,151,0
add-c,12,10000,240000,32604813,135,0
add-s,1,10000,20000,500637,25,0
add-s,2,10000,40000,5812605,145,0
add-s,4,10000,80000,17065855,213,0
add-s,8,10000,160000,69247532,432,0
add-s,12,10000,240000,145150733,604,0
